x,y,z
522.0809172377438,522.0740643120716,24.89562467053242
521.7119135477069,521.686610437533,24.918028465998944
519.3376383763838,519.3376383763838,27.140484976278334

The shape I used:
512,512,25
512,512,25
512,512,27
