training_loss,validation_loss,test_loss
0.7853648952678242,0.7918689704574315,0.8965359667936961
0.7550535223125356,0.778142907186947,0.8608385319511096
0.7438057327593586,0.7243009439084382,0.8944427209595839
0.7177297009600211,0.7001412989555207,0.8498424788316091
0.7015304621309042,0.6892535071984857,0.8682847301165263
0.681045488990118,0.6700079771401608,0.836623402684927
0.6718225657808042,0.640015261890614,0.8432238404949506
0.6593258487703526,0.6995753397983787,0.7611857003221909
0.6404157715264411,0.6389539371681424,0.8694852246592443
0.6337958341629236,0.6219232554456829,0.816967536136508
0.6306802985645765,0.672404230860746,0.9280447782327731
0.6272471201136313,0.6417523071961065,0.8108967840671539
0.5838706512993153,0.6019786065197097,0.8801111541688442
0.5700094576892072,0.5935349954968006,0.8107435546815396
0.5718132287461674,0.599037910457206,0.7564173541963101
0.566531133277556,0.590891132444407,0.7252508096396924
0.5653672456922653,0.5934410581480613,0.7310410761584838
0.5632685819080314,0.5851913904523955,0.7743374414741993
0.5588719194046164,0.5815645704886555,0.794008452569445
0.5487767178070756,0.5860122942357464,0.7856374201675256
0.5475754763321143,0.5925197968902314,0.7315247950454553
0.5382356036256636,0.580371365973116,0.7678667192657789
0.53837469333074,0.5831493761027808,0.7882188972085714
0.531868447871071,0.5776730597151064,0.7679016273468733
0.5308946206325055,0.5793806692272161,0.7626818853120009
0.5322035105684689,0.5766894675923132,0.7709957511474689
0.5303734543411869,0.5764556449005561,0.8003028032680353
0.5228346680595943,0.5913397854408332,0.8159173656255007
0.5307803837895657,0.5859545335107672,0.8100891175369421
0.5205621790074932,0.5755882180106323,0.7782595124095678
0.5212492641325281,0.5753347805116029,0.7659628016253313
0.5173822645823248,0.5751522952212696,0.771092255661885
0.5220257275020787,0.5754516449781646,0.7869707933316629
0.5241613299214998,0.5761345808550847,0.755809681986769
0.5196661904734452,0.5745497061088022,0.7670916090408961
0.5163804767653346,0.5749918681330386,0.7771417600413163
0.5174430545205168,0.5745723197417977,0.7721200405309597
0.5123077235143401,0.5745880378954178,0.7727377230922381
0.5156870851111887,0.5746064933791625,0.7730490011473496
0.5173116359464099,0.5746028812321942,0.7730418037623167
